x,y
"[1, 1, 1, 1, 1]",6800.0
"[1, 1, 1, 1, 1]",6970.0
"[1, 1, 1, 1, 1]",7100.0
"[1, 1, 1, 1, 1]",7580.0
"[1, 1, 1, 1, 1]",7580.0
"[1, 1, 1, 1, 1]",7550.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",6870.0
"[1, 1, 1, 1, 1]",6800.0
"[1, 1, 1, 1, 1]",6780.0
"[1, 1, 1, 1, 1]",7570.0
"[1, 1, 1, 1, 1]",7570.0
"[1, 1, 1, 1, 1]",7690.0
"[1, 1, 1, 1, 1]",7690.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7650.0
"[1, 1, 1, 1, 1]",7650.0
"[1, 1, 1, 1, 1]",7610.0
"[1, 1, 1, 1, 1]",7530.0
"[1, 1, 1, 1, 1]",7570.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7680.0
"[1, 1, 1, 1, 1]",7680.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7640.0
"[1, 1, 1, 1, 1]",7640.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7590.0
"[1, 1, 1, 1, 1]",7550.0
"[1, 1, 1, 1, 1]",7540.0
"[1, 1, 1, 1, 1]",7450.0
"[1, 1, 1, 1, 1]",7480.0
"[1, 1, 1, 1, 1]",7480.0
"[1, 1, 1, 1, 1]",7480.0
"[1, 1, 1, 1, 1]",7390.0
"[1, 1, 1, 1, 1]",7330.0
"[1, 1, 1, 1, 1]",7330.0
"[1, 1, 1, 1, 1]",7330.0
"[1, 1, 1, 1, 1]",7150.0
"[1, 1, 1, 1, 1]",7150.0
"[1, 1, 1, 1, 1]",7150.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7180.0
"[1, 1, 1, 1, 1]",7180.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7150.0
"[1, 1, 1, 1, 1]",7150.0
"[1, 1, 1, 1, 1]",7150.0
"[1, 1, 1, 1, 1]",7150.0
"[1, 1, 1, 1, 1]",7150.0
"[1, 1, 1, 1, 1]",7180.0
"[1, 1, 1, 1, 1]",7180.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7240.0
"[1, 1, 1, 1, 1]",7240.0
"[1, 1, 1, 1, 1]",7180.0
"[1, 1, 1, 1, 1]",7180.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7180.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7240.0
"[1, 1, 1, 1, 1]",7240.0
"[1, 1, 1, 1, 1]",7180.0
"[1, 1, 1, 1, 1]",7150.0
"[1, 1, 1, 1, 1]",7150.0
"[1, 1, 1, 1, 1]",7150.0
"[1, 1, 1, 1, 1]",7150.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7180.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7180.0
"[1, 1, 1, 1, 1]",7180.0
"[1, 1, 1, 1, 1]",7270.0
"[1, 1, 1, 1, 1]",7300.0
"[1, 1, 1, 1, 1]",7450.0
"[1, 1, 1, 1, 1]",7450.0
"[1, 1, 1, 1, 1]",7450.0
"[1, 1, 1, 1, 1]",7510.0
"[1, 1, 1, 1, 1]",7510.0
"[1, 1, 1, 1, 1]",7520.0
"[1, 1, 1, 1, 1]",7520.0
"[1, 1, 1, 1, 1]",7520.0
"[1, 1, 1, 1, 1]",7330.0
"[1, 1, 1, 1, 1]",7330.0
"[1, 1, 1, 1, 1]",7400.0
"[1, 1, 1, 1, 1]",7420.0
"[1, 1, 1, 1, 1]",7460.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7700.0
"[1, 1, 1, 1, 1]",7700.0
"[1, 1, 1, 1, 1]",7700.0
"[1, 1, 1, 1, 1]",7700.0
"[1, 1, 1, 1, 1]",7700.0
"[1, 1, 1, 1, 1]",7570.0
"[1, 1, 1, 1, 1]",7570.0
"[1, 1, 1, 1, 1]",7640.0
"[1, 1, 1, 1, 1]",7640.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7620.0
"[1, 1, 1, 1, 1]",7620.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7670.0
"[1, 1, 1, 1, 1]",7670.0
"[1, 1, 1, 1, 1]",7640.0
"[1, 1, 1, 1, 1]",7640.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7650.0
"[1, 1, 1, 1, 1]",7650.0
"[1, 1, 1, 1, 1]",7650.0
"[1, 1, 1, 1, 1]",7640.0
"[1, 1, 1, 1, 1]",7640.0
"[1, 1, 1, 1, 1]",7640.0
"[1, 1, 1, 1, 1]",7640.0
"[1, 1, 1, 1, 1]",7640.0
"[1, 1, 1, 1, 1]",7620.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7590.0
"[1, 1, 1, 1, 1]",7580.0
"[1, 1, 1, 1, 1]",7610.0
"[1, 1, 1, 1, 1]",7610.0
"[1, 1, 1, 1, 1]",7620.0
"[1, 1, 1, 1, 1]",7620.0
"[1, 1, 1, 1, 1]",7640.0
"[1, 1, 1, 1, 1]",7690.0
"[1, 1, 1, 1, 1]",7690.0
"[1, 1, 1, 1, 1]",7580.0
"[1, 1, 1, 1, 1]",7570.0
"[1, 1, 1, 1, 1]",7610.0
"[1, 1, 1, 1, 1]",7690.0
"[1, 1, 1, 1, 1]",7690.0
"[1, 1, 1, 1, 1]",7690.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7570.0
"[1, 1, 1, 1, 1]",7570.0
"[1, 1, 1, 1, 1]",7570.0
"[1, 1, 1, 1, 1]",7460.0
"[1, 1, 1, 1, 1]",7460.0
"[1, 1, 1, 1, 1]",7460.0
"[1, 1, 1, 1, 1]",7390.0
"[1, 1, 1, 1, 1]",7390.0
"[1, 1, 1, 1, 1]",7390.0
"[1, 1, 1, 1, 1]",7360.0
"[1, 1, 1, 1, 1]",7360.0
"[1, 1, 1, 1, 1]",7390.0
"[1, 1, 1, 1, 1]",7390.0
"[1, 1, 1, 1, 1]",7450.0
"[1, 1, 1, 1, 1]",7450.0
"[1, 1, 1, 1, 1]",7450.0
"[1, 1, 1, 1, 1]",7390.0
"[1, 1, 1, 1, 1]",7390.0
"[1, 1, 1, 1, 1]",7390.0
"[1, 1, 1, 1, 1]",7420.0
"[1, 1, 1, 1, 1]",7510.0
"[1, 1, 1, 1, 1]",7620.0
"[1, 1, 1, 1, 1]",7620.0
"[1, 1, 1, 1, 1]",7510.0
"[1, 1, 1, 1, 1]",7550.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7660.0
"[1, 1, 1, 1, 1]",7660.0
"[1, 1, 1, 1, 1]",7690.0
"[1, 1, 1, 1, 1]",7690.0
"[1, 1, 1, 1, 1]",7690.0
"[1, 1, 1, 1, 1]",7570.0
"[1, 1, 1, 1, 1]",7570.0
"[1, 1, 1, 1, 1]",7570.0
"[1, 1, 1, 1, 1]",7570.0
"[1, 1, 1, 1, 1]",7610.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7680.0
"[1, 1, 1, 1, 1]",7680.0
"[1, 1, 1, 1, 1]",7650.0
"[1, 1, 1, 1, 1]",7650.0
"[1, 1, 1, 1, 1]",7690.0
"[1, 1, 1, 1, 1]",7690.0
"[1, 1, 1, 1, 1]",7610.0
"[1, 1, 1, 1, 1]",7500.0
"[1, 1, 1, 1, 1]",7500.0
"[1, 1, 1, 1, 1]",7530.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7660.0
"[1, 1, 1, 1, 1]",7660.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7620.0
"[1, 1, 1, 1, 1]",7620.0
"[1, 1, 1, 1, 1]",7620.0
"[1, 1, 1, 1, 1]",7590.0
"[1, 1, 1, 1, 1]",7580.0
"[1, 1, 1, 1, 1]",7540.0
"[1, 1, 1, 1, 1]",7420.0
"[1, 1, 1, 1, 1]",7520.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7520.0
"[1, 1, 1, 1, 1]",7540.0
"[1, 1, 1, 1, 1]",7540.0
"[1, 1, 1, 1, 1]",7540.0
"[1, 1, 1, 1, 1]",7450.0
"[1, 1, 1, 1, 1]",7540.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7540.0
"[1, 1, 1, 1, 1]",7520.0
"[1, 1, 1, 1, 1]",7570.0
"[1, 1, 1, 1, 1]",7580.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7580.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7650.0
"[1, 1, 1, 1, 1]",7650.0
"[1, 1, 1, 1, 1]",7650.0
"[1, 1, 1, 1, 1]",7610.0
"[1, 1, 1, 1, 1]",7610.0
"[1, 1, 1, 1, 1]",7570.0
"[1, 1, 1, 1, 1]",7420.0
"[1, 1, 1, 1, 1]",7420.0
"[1, 1, 1, 1, 1]",7390.0
"[1, 1, 1, 1, 1]",7510.0
"[1, 1, 1, 1, 1]",7510.0
"[1, 1, 1, 1, 1]",7510.0
"[1, 1, 1, 1, 1]",7540.0
"[1, 1, 1, 1, 1]",7550.0
"[1, 1, 1, 1, 1]",7570.0
"[1, 1, 1, 1, 1]",7660.0
"[1, 1, 1, 1, 1]",7660.0
"[1, 1, 1, 1, 1]",7660.0
"[1, 1, 1, 1, 1]",7690.0
"[1, 1, 1, 1, 1]",7690.0
"[1, 1, 1, 1, 1]",7690.0
"[1, 1, 1, 1, 1]",7580.0
"[1, 1, 1, 1, 1]",7450.0
"[1, 1, 1, 1, 1]",7520.0
"[1, 1, 1, 1, 1]",7520.0
"[1, 1, 1, 1, 1]",7520.0
"[1, 1, 1, 1, 1]",7360.0
"[1, 1, 1, 1, 1]",7300.0
"[1, 1, 1, 1, 1]",7300.0
"[1, 1, 1, 1, 1]",7300.0
"[1, 1, 1, 1, 1]",7300.0
"[1, 1, 1, 1, 1]",7300.0
"[1, 1, 1, 1, 1]",7300.0
"[1, 1, 1, 1, 1]",7240.0
"[1, 1, 1, 1, 1]",7300.0
"[1, 1, 1, 1, 1]",7300.0
"[1, 1, 1, 1, 1]",7330.0
"[1, 1, 1, 1, 1]",7370.0
"[1, 1, 1, 1, 1]",7390.0
"[1, 1, 1, 1, 1]",7390.0
"[1, 1, 1, 1, 1]",7330.0
"[1, 1, 1, 1, 1]",7360.0
"[1, 1, 1, 1, 1]",7390.0
"[1, 1, 1, 1, 1]",7450.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7690.0
"[1, 1, 1, 1, 1]",7690.0
"[1, 1, 1, 1, 1]",7690.0
"[1, 1, 1, 1, 1]",7610.0
"[1, 1, 1, 1, 1]",7660.0
"[1, 1, 1, 1, 1]",7660.0
"[1, 1, 1, 1, 1]",7660.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7570.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7640.0
"[1, 1, 1, 1, 1]",7640.0
"[1, 1, 1, 1, 1]",7650.0
"[1, 1, 1, 1, 1]",7650.0
"[1, 1, 1, 1, 1]",7650.0
"[1, 1, 1, 1, 1]",7580.0
"[1, 1, 1, 1, 1]",7570.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7640.0
"[1, 1, 1, 1, 1]",7640.0
"[1, 1, 1, 1, 1]",7640.0
"[1, 1, 1, 1, 1]",7650.0
"[1, 1, 1, 1, 1]",7650.0
"[1, 1, 1, 1, 1]",7650.0
"[1, 1, 1, 1, 1]",7630.0
"[1, 1, 1, 1, 1]",7600.0
"[1, 1, 1, 1, 1]",7580.0
"[1, 1, 1, 1, 1]",7450.0
"[1, 1, 1, 1, 1]",7450.0
"[1, 1, 1, 1, 1]",7540.0
"[1, 1, 1, 1, 1]",7540.0
"[1, 1, 1, 1, 1]",7540.0
"[1, 1, 1, 1, 1]",7390.0
"[1, 1, 1, 1, 1]",7390.0
"[1, 1, 1, 1, 1]",7390.0
"[1, 1, 1, 1, 1]",7390.0
"[1, 1, 1, 1, 1]",7270.0
"[1, 1, 1, 1, 1]",7330.0
"[1, 1, 1, 1, 1]",7330.0
"[1, 1, 1, 1, 1]",7330.0
"[1, 1, 1, 1, 1]",7240.0
"[1, 1, 1, 1, 1]",7270.0
"[1, 1, 1, 1, 1]",7300.0
"[1, 1, 1, 1, 1]",7420.0
"[1, 1, 1, 1, 1]",7420.0
"[1, 1, 1, 1, 1]",7360.0
"[1, 1, 1, 1, 1]",7300.0
"[1, 1, 1, 1, 1]",7180.0
"[1, 1, 1, 1, 1]",7270.0
"[1, 1, 1, 1, 1]",7270.0
"[1, 1, 1, 1, 1]",7270.0
"[1, 1, 1, 1, 1]",7180.0
"[1, 1, 1, 1, 1]",7180.0
"[1, 1, 1, 1, 1]",7150.0
"[1, 1, 1, 1, 1]",7180.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7210.0
"[1, 1, 1, 1, 1]",7150.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7180.0
"[1, 1, 1, 1, 1]",7180.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7150.0
"[1, 1, 1, 1, 1]",7240.0
"[1, 1, 1, 1, 1]",7240.0
"[1, 1, 1, 1, 1]",7240.0
"[1, 1, 1, 1, 1]",7150.0
"[1, 1, 1, 1, 1]",7150.0
"[1, 1, 1, 1, 1]",7150.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7090.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7030.0
